gender05,age05,education05,hisp05,race05,income05,party05,marital05,Q9_05,Q10,Q5_05,Q7_05,Q6_05,gender13,age13,educaton13,hisp13,race13,income13,Q1_13,Q2_13,Q3_13,Q4_13,Q5_13,Q6_13,Q7_13,Q8_13,gender15,age15,education15,hisp15,race15,income15,party15,marital15,Q1_15,Q2_15,Q3_15,Q4_15,Q5_15,Q6_15,Q7_15,Q8_15
FEMALE,34,5,2,1,3,1,1,1,1,2,2,2,FEMALE,64,3,2,1,6,2, ,2,2,2,2,1,2,FEMALE,63,4,2,1,4,2,1,2, ,2,2,1,1,2,2
MALE,46,5,2,1,5,3,1,2, ,2,1,2,FEMALE,60,4,2,1,99,2, ,2,2,2,1,2,1,MALE,56,8,2,1,9,2,1,2,2,2,2,2,2,8,8
FEMALE,88,5,2,1,9,1,5,2, , , , ,MALE,35,6,2,3,99,2,2,1,2,1,9,8,8,FEMALE,83,5,2,1,3,1,5, , ,2,2,1,2,1,8
FEMALE,78,3,2,1,5,1,5,2, ,2,8,2,FEMALE,88,8,2,1,2,2, ,2,2,2,2,1,8,MALE,73,4,2,1,99,1,5, , ,2,2,2,2,1,8
MALE,56,6,2,1,6,2,6,2, ,8,8,8,FEMALE,87,3,2,1,3, , ,2,2,1,1,2,2,FEMALE,44,8,2,9,9,9,1,2,2,8,8,8,8,8,8
MALE,75,1,1,1,2,2,1,2, , , , ,FEMALE,51,8,2,1,99,9, ,1,1,1,2,2,1,MALE,62,8,2,1,9,3,1,2,2,1,2,1,1,2,2
MALE,44,6,1,1,6,1,1,2, ,1,2,2,FEMALE,70,5,2,1,98,2,2,2,2,1,1,2,1,MALE,59,6,2,1,9,1,1,2,2,1,1,2,1,8,2
MALE,50,6,2,1,8,3,2,1,1,1,2,1,FEMALE,34,6,2,1,6,1,2,2,2,1,2,2,1,FEMALE,72,8,2,1,99,4,5,2,2,1,2,8,8,8,8
FEMALE,36,6,2,1,8,3,1,1,2,1,2,2,MALE,53,3,2,1,3, , ,2,2,1,1,2,1,FEMALE,46,8,1,1,7,3,1,2,2,2,2,2,1,2,2
MALE,35,3,1,1,4,2,6,1,2,1,2,1,MALE,58,4,2,1,8,2, ,2,2,2,1,2,2,FEMALE,80,8,2,1,9,1,6,2, ,2,2,2,2,2,1
FEMALE,33,6,2,1,4,2,2,1,1,1,2,1,MALE,45,8,2,1,7,2, ,2,2,2,1,8,8,FEMALE,99,4,2,1,4,4,9, , ,1,1,1,2,2,2
MALE,55,7,2,4,8,2,2,1,2,1,2,1,FEMALE,47,5,2,1,4,2, ,2,2,2,2,2,1,FEMALE,85,3,2,1,99,3,2, , ,2,2,2,2,1,8
MALE,24,3,1,6,1,2,4,2, ,2,1,2,FEMALE,82,8,2,1,4,2, ,1,1,1,2,2,2,FEMALE,72,3,2,1,2,8,5, , ,2,2,1,1,2,1
MALE,62,6,2,2,8,3,1,1,1,8,2,8,MALE,50,6,2,1,7,2, ,2,2,1,1,9,1,MALE,18,3,2,1,98,3,6,2,2,2,2,1,2,2,2
MALE,68,7,2,2,7,2,6,2, ,8,2,1,MALE,66,2,2,1,4, , ,2,2,1,1,2,1,MALE,33,8,2,1,6,1,6,2, ,1,1,1,2,8,2
FEMALE,49,5,2,2,5,2,3,1,2,1,2,1,MALE,81,6,2,1,7, , ,2,2,1,1,8,2,FEMALE,65,8,2,1,9,3,1,2, ,2,2,2,2,2,2
MALE,18,3,2,2,1,1,6,2, ,2,2,1,FEMALE,64,1,2,1,1, , ,2,2,1,1,1,1,MALE,66,3,2,1,98,3,1, , ,2,2,2,2,2,2
